student_id,study_hours,sleep_hours,exam_score
1,2.4,8.7,52.5
2,0.5,8.2,51.7
3,3.9,5.2,57.1
4,4.7,6.3,53.0
5,3.3,4.6,60.6
6,9.9,8.8,86.9
7,4.3,7.0,64.3
8,3.4,5.1,61.2
9,6.5,7.4,61.1
10,1.7,7.1,54.9
11,9.6,5.8,92.2
12,0.9,4.6,34.8
13,11.8,7.4,98.8
14,9.3,6.6,85.4
15,2.4,7.9,47.7
16,0.1,6.6,42.5
17,9.8,8.3,97.5
18,8.5,6.8,79.3
19,8.7,6.8,90.9
20,9.3,8.4,91.3
21,0.9,6.0,41.5
22,4.3,4.7,58.8
23,1.4,4.1,33.1
24,10.4,7.8,77.1
25,7.5,7.1,75.3
26,4.0,7.5,49.0
27,0.8,5.1,38.8
28,3.7,4.7,50.0
29,3.9,4.1,41.0
30,8.8,5.8,83.6
31,7.7,6.9,71.7
32,10.6,6.0,90.8
33,5.7,6.2,57.5
34,1.4,8.5,39.6
35,8.6,5.7,92.2
36,9.1,6.6,83.3
37,6.7,7.9,74.2
38,9.3,6.0,73.2
39,5.9,7.1,84.8
40,6.3,8.3,82.5
41,5.1,8.7,72.4
42,0.3,4.7,43.2
43,1.3,8.6,41.9
44,0.4,6.5,40.6
45,7.6,5.3,82.9
46,3.8,6.3,49.7
47,6.1,8.9,63.2
48,10.9,6.5,78.3
49,3.0,5.6,44.4
50,4.9,7.2,73.8
51,9.1,5.2,79.6
52,2.7,4.4,46.5
53,0.9,4.6,42.2
54,3.5,4.6,40.3
55,1.9,4.8,52.4
56,11.2,4.7,100.0
57,9.7,7.2,88.5
58,7.6,4.9,87.7
59,10.5,5.7,79.0
60,9.6,8.5,99.7
61,2.2,6.4,40.6
62,10.7,7.3,80.4
63,6.5,4.9,66.9
64,9.7,5.0,100.0
65,10.8,4.2,91.0
66,3.8,4.8,47.3
67,1.3,5.4,31.4
68,2.7,4.9,48.2
69,5.1,4.4,45.6
70,9.8,4.6,75.6
71,10.3,6.3,100.0
72,0.1,5.0,46.1
73,6.1,5.8,65.7
74,5.0,6.5,57.3
75,2.7,7.5,49.5
76,1.4,4.2,61.1
77,4.1,8.0,59.6
78,11.3,7.1,100.0
79,3.9,4.4,53.7
80,6.2,8.4,67.7
81,8.4,8.6,83.9
82,4.4,4.3,58.9
83,11.7,5.4,80.7
84,11.5,8.0,100.0
85,3.0,7.7,45.7
86,6.0,4.9,83.1
87,3.6,5.0,59.2
88,3.4,5.9,53.2
89,0.4,6.4,40.6
90,7.3,7.1,72.1
91,6.0,5.8,62.3
92,0.6,6.3,39.8
93,3.3,7.7,59.2
94,10.9,4.2,88.0
95,2.9,5.3,45.1
96,1.7,7.6,41.0
97,5.9,8.5,73.3
98,11.8,6.6,100.0
99,2.9,6.7,53.0
100,8.1,4.5,81.8
101,9.1,6.2,77.3
102,2.9,6.7,57.1
103,8.7,5.2,84.7
104,4.4,5.3,52.2
105,7.6,5.9,60.2
106,7.6,4.1,64.8
107,6.4,5.6,62.9
108,1.1,5.1,50.0
109,10.0,5.6,99.4
110,3.8,4.6,51.2
111,2.2,8.5,43.2
112,0.5,7.0,39.7
113,7.1,7.4,72.0
114,8.1,7.9,84.6
115,0.2,6.5,31.9
116,6.1,4.4,74.3
117,2.7,6.7,47.1
118,7.7,6.9,81.9
119,2.1,7.7,43.8
120,8.3,6.2,73.3
121,4.6,4.6,74.2
122,11.2,5.4,100.0
123,1.7,5.8,29.5
124,4.1,7.2,52.7
125,1.4,6.9,51.9
126,11.1,5.8,83.1
127,10.5,8.9,95.8
128,3.1,7.0,56.5
129,7.9,5.2,70.5
130,9.8,4.5,85.9
131,6.7,4.8,53.1
132,6.4,5.2,82.4
133,2.9,4.8,47.6
134,1.1,4.9,47.2
