department,salary_usd
Support,38706
Sales,30418
Support,37780
Support,44897
Marketing,31458
Support,35909
Marketing,73677
HR,65111
Engineering,108561
HR,41937
Marketing,55052
Support,38212
Marketing,57412
Support,56736
Support,51316
Marketing,43637
Support,54870
Engineering,80900
Engineering,104151
Marketing,55659
Sales,45738
HR,60624
Support,53292
Marketing,36372
Engineering,92490
Sales,66129
Support,30800
Marketing,28503
Support,52076
Marketing,58906
Sales,69977
Engineering,84060
Marketing,77298
HR,51642
Engineering,72625
Sales,66917
Engineering,102094
Sales,42315
Support,48700
Sales,57261
HR,35299
Marketing,49604
Marketing,37536
Engineering,116750
Support,49188
Sales,50638
Support,43383
HR,69893
HR,51429
HR,56602
Engineering,87899
Marketing,62065
Marketing,70986
Engineering,113471
HR,45428
HR,51722
HR,50039
Sales,28561
HR,52435
Support,59923
Sales,58197
Engineering,112391
Marketing,63794
HR,42459
Support,28000
Marketing,87061
Sales,71697
HR,64559
HR,57555
HR,40324
Marketing,70622
Sales,74567
Support,41072
Support,48971
Engineering,110954
Support,47039
Engineering,92119
Marketing,31768
Sales,78092
Marketing,36135
Sales,42539
Engineering,117267
HR,68935
Engineering,82687
Sales,38784
Engineering,116759
Support,35473
Marketing,45127
Support,46607
Sales,52313
Sales,81525
Support,41448
HR,49285
Support,28000
Marketing,46914
HR,63952
HR,58373
HR,56050
HR,48331
Marketing,48630
Sales,53208
Support,49240
Marketing,63094
Engineering,85411
Sales,57695
HR,47808
Engineering,85763
Marketing,54341
HR,36056
HR,43647
Sales,55578
Support,38503
Sales,59443
HR,47614
Sales,66576
Sales,66805
Support,52862
HR,53285
Marketing,51099
Support,48841
Engineering,125223
Marketing,43466
Support,38214
Marketing,71741
Support,28000
Engineering,90092
Sales,103999
Engineering,77487
HR,57095
Support,55462
Support,47609
HR,39400
Support,51115
HR,48285
Support,55324
HR,49257
Sales,74547
Sales,50633
Sales,70391
Support,38345
Engineering,80720
Marketing,64774
Sales,49251
Sales,52964
Sales,33018
Engineering,88255
Sales,80573
Engineering,51111
Marketing,77239
Engineering,119350
Support,37897
Engineering,95421
Sales,89640
Marketing,57061
Marketing,49495
Support,47591
Engineering,125098
Engineering,55277
Sales,67501
Marketing,55245
Marketing,52516
HR,53102
Support,56151
Sales,59568
HR,52702
Engineering,74927
Marketing,41206
Marketing,45460
Marketing,44575
Marketing,48648
Support,50255
Support,59157
